Date,RG01,RG02,RG03,RG04,RG05,RG07,RG08,RG09,RG10_30,RG11,RG12,RG14,RG15,RG16,RG17,RG18,RG20_25
2013-06-30T00:00:00,1.8,1.91,1.56,2.23,1.2,2.1,1.55,1.92,1.74,1.44,1.55,1.67,1.45,1.2,1.34,1.46,1.71
2013-07-31T00:00:00,0.05,0.03,0.09,0.11,0,0,0,0.03,0.09,0,0,0,0,0.02,0.01,0.14,0.15
2013-08-31T00:00:00,0.96,0.94,1.02,0.99,0.92,1.08,1.15,1,1.24,1.2,1.15,0.82,0.98,1.05,1.26,1.15,1.08
2013-09-30T00:00:00,5.06,5.08,4.8,4.91,5.33,4.88,5.63,5.14,5.91,4.73,5.63,5.37,5.67,5.25,4.97,5.61,5.5
2013-10-31T00:00:00,0.98,1.19,0.9,0.98,1.52,0.98,1.14,1.14,1.76,0.76,1.31,1.52,1.1,1.44,1.81,1.72,1
2013-11-30T00:00:00,2.8,3.03,2.58,3.04,2.83,2.79,2.55,2.79,3.54,2.31,2.75,2.85,2.85,2.99,3.1,3.25,2.9
2013-12-31T00:00:00,1.37,1.51,1.25,1.52,1.01,1.11,0.95,1.24,1.57,0.95,1.01,1.35,1.11,1.21,1.4,1.37,1.47
2014-01-31T00:00:00,4.24,4.07,4.05,4.07,3.4,4.39,3.89,4.54,3.93,3.99,4.6,4.5,3.4,3.68,3.72,4.06,4.34
2014-02-28T00:00:00,5.59,5.45,5.42,5.12,5.55,5.62,4.88,5.55,6.27,5.33,5.85,6.03,5.55,6.28,5.84,6.21,5.87
2014-03-31T00:00:00,9.06,8.76,8.54,8.69,7.93,8.8,8.3,9.73,9.24,8.04,8.87,8.81,7.93,8.17,8.26,8.84,8.51
2014-04-30T00:00:00,3.23,3.07,3.07,3.37,2.65,3.22,2.6,3.37,4.47,2.7,2.78,2.84,2.84,3.43,2.84,3.53,3.11
2014-05-31T00:00:00,2.26,2.28,2.2,2.45,2.4,2.25,2.24,2.6,3.14,2.38,2.71,2.76,2.76,2.88,2.94,2.9,2.62
2014-06-30T00:00:00,1.22,1.34,0.9,1.16,0.54,1.11,0.98,1.12,0.79,0.75,0.95,0.56,0.56,0.56,0.65,0.69,1.08
2014-07-31T00:00:00,1.28,1.54,0.98,1.33,0.57,1.02,0.81,0.99,1.09,0.75,0.96,0.69,0.69,0.72,0.76,0.99,0.67
2014-08-31T00:00:00,1.62,1.67,1.29,1.64,1.21,1.46,1.13,1.29,1.48,1.23,1.25,1.15,1.15,1.17,1.35,1.53,1.35
2014-09-30T00:00:00,2.73,3.76,2.69,2.64,1.96,2.67,2.35,2.69,2.61,3.35,2.52,2.83,2.83,2.27,2.39,2.68,3.41
2014-10-31T00:00:00,6.76,8.39,6.02,6.89,6.58,6.54,5.93,6.46,7.21,6.41,7.07,6.87,6.58,5.83,5.85,7.25,6.71
2014-11-30T00:00:00,5.08,6.14,4.7,4.56,4.46,4.86,4.38,4.95,4.44,4.63,4.8,5.25,4.41,3.72,3.43,4.41,5.13
2014-12-31T00:00:00,6.09,5.37,5.29,5.5,5.42,6.26,5.39,6.08,5.24,5.41,5.93,5.86,5.43,4.6,4.38,5.29,5.92
2015-01-31T00:00:00,2.54,2.65,2.72,2.38,2.47,2.61,2.27,2.66,3.2,2.73,2.7,3.04,2.35,2.36,1.92,2.67,3.01
2015-02-28T00:00:00,4.6,4.21,4.1,4.18,4.37,4.52,3.91,4.46,5.1,4.18,4.32,4.61,4.5,4.68,4.68,5.1,5.1
2015-03-31T00:00:00,4.25,4.12,4.3,4.23,4.56,4.99,3.8,4.33,4.55,4.39,4.42,4.83,4.57,4.38,4.39,4.52,4.79
2015-04-30T00:00:00,1.59,1.64,1.89,1.66,1.65,1.71,1.26,1.62,2.11,1.64,1.58,1.62,1.84,1.91,1.7,2.3,2.42
2015-05-31T00:00:00,0.5,0.87,0.65,0.73,0.51,0.54,0.77,0.79,0.57,0.52,0.66,0.48,0.49,0.31,0.4,0.49,0.57
2015-06-30T00:00:00,0.28,0.2,0.12,0.13,0.15,0.33,0.15,0.21,0.17,0.1,0.13,0.14,0.09,0.12,0.12,0.23,0.17
2015-07-31T00:00:00,0.35,0.94,0.25,0.31,0.13,0.24,0.18,0.27,0.14,0.15,0.17,0.19,0.18,0.16,0.07,0.29,0.22
2015-08-31T00:00:00,3.02,2.63,3.42,2.61,3.7,2.58,2.57,2.96,2.97,2.83,2.96,3.03,2.67,2.67,2.58,2.97,2.76
2015-09-30T00:00:00,1.35,1.04,2.2,1.42,0.79,1.13,1.77,2.03,1.3,1.83,1.73,1.63,1.67,1.01,0.87,1.3,1.78
2015-10-31T00:00:00,3.51,3.53,3.38,3.45,3.38,3.34,2.93,3.63,3.7,3.25,3.3,3.76,3.29,3.7,3.48,4.02,3.88
2015-11-30T00:00:00,6.92,6.66,6.48,6.76,6.76,6.54,6.44,7.37,7.74,6.36,7.08,7.35,6.63,7.74,6.65,8.04,6.95
2015-12-31T00:00:00,10.49,8.94,10.14,10.05,10.11,10.58,9.93,11.21,10.88,9.94,11.4,11.83,10.09,10.88,9.81,10.45,10.66
2016-01-31T00:00:00,8.22,6.89,7.25,7.47,7.39,8.43,7.6,8.37,7.07,7.24,8.25,7.91,7.24,7.07,6.68,7.11,7.85
2016-02-29T00:00:00,4.02,3.78,4.12,3.67,4.02,4.07,3.63,4.32,5.31,4.28,4.37,4.72,4.57,5.31,4.42,5.47,4.65
2016-03-31T00:00:00,6.05,4.91,5.51,5.58,5.23,5.96,5.52,4.8,5.85,5.55,6.11,6.1,5.32,5.85,5.27,5.55,5.92
2016-04-30T00:00:00,1.6,1.45,1.33,1.56,1.29,1.39,1.32,1.36,1.38,1.65,1.39,1.69,1.46,1.38,1.34,1.43,1.86
2016-05-31T00:00:00,1.4,1.79,1.43,1.86,0.7,1.05,0.72,1.3,0.88,1.36,1.01,0.75,0.88,0.88,1.02,1.23,1.86
2016-06-30T00:00:00,1.63,1.53,1.75,1.64,1.26,1.57,1.4,1.34,1.73,1.09,1.17,1.22,1.41,1.73,1.37,1.91,1.76
2016-07-31T00:00:00,0.61,0.52,0.58,0.57,0.66,0.72,0.62,0.62,0.46,0.53,0.75,0.64,0.54,0.19,0.59,0.48,0.63
